[np.float64(1.7560674160531887e-83), np.float64(0.6073429195218324), np.float64(-0.02800851495609476), np.float64(-2.337431233035072), np.float64(1410.822472306069), np.float64(-0.47055730749435426), np.float64(1.8860590228330538), np.float64(9.7967762336111)]
[np.float64(4.9034566203498744e-23), np.float64(0.43191259677734994), np.float64(-0.0050996516532131305), np.float64(-2.045848222259703), np.float64(1538.8865329485684), np.float64(-0.28959518039986254), np.float64(1.632336186383795), np.float64(9.751824409635)]
[np.float64(3.663651485583547e-19), np.float64(0.5792893326080926), np.float64(-0.12484064470730792), np.float64(-1.4573094819255341), np.float64(1444.7034910215432), np.float64(-0.36049872159135526), np.float64(1.3792796355485824), np.float64(9.8794866838666)]
[np.float64(0.0), np.float64(0.04642755892042223), np.float64(-0.00433361925392632), np.float64(-1.2174801991874626), np.float64(7829.126770520671), np.float64(-0.3287642660066875), np.float64(1.238676886820875), np.float64(9.9577048697051)]
[5.1959533925917646e-188, -0.18057149820968377, -0.00853782046656897, -1.1363238555006592, 8662.405001248297, -0.3936264777677636, 0.12278975034079025, 9.7388376165786]
[1.8795868137605964e-245, 0.02067653460932504, -0.11879595583550381, -1.1208424476469427, 6830.979695854196, -0.5780173468025228, 1.9122454781778415, 9.7430936991566]
[0.0007504101974411874, 0.59981752655034, -0.040250579598633124, -2.040885403805603, 8662.405001248297, -0.3498326402798829, 0.18482075943543794, 9.9624945575361]
[-1.1852164243344097e-164, 0.6547602168575041, -0.015296653200264545, -0.2645697105357452, 192.74241462086238, -0.1691668988310204, 1.6537920557141634, 9.9720021581071]
[-2.0237956902126822e-07, 0.5009069048315451, -0.012576423151509187, -0.7706261283557363, 8072.836453027147, -0.732348487380992, 1.3624919833307452, 9.9662602553371]
[-8.016678888654991e-09, 0.5551618766089945, -0.025737057610176247, 0.4364124337911517, 190.8396220151352, -0.20777077917344067, 1.2394500907050623, 8.0447888067701]
[-2.2934719022535862e-07, 0.027639671319273355, -0.0031012197177149622, 0.11233200028345935, 1616.6257474282386, -0.21783362002521534, 1.9734479503669744, 6.635717713583101]
[0.49618150331763927, 0.47529046059645874, -0.002883884548643671, 0.6564586953479226, 163.1224975999821, -0.8265347971642838, 1.8520794344872633, 7.7864589446735994]
